event_link,event_link-href,event_title,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__0,event_organizer__La Virreina,event_venue__La Virreina,event_category__Exposición__La Virreina__Arte contemporáneo,event_id
"Michael Snow. Secuencias","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/michael-snow-secuencias","Michael Snow. Secuencias","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/msnow_slidelength.jpg","La Virreina Centre de la Imatge dedica una gran exposición retrospectiva al artista canadiense Michael Snow.","09.07.2015 - 01.11.2015","09.07.2015 - 01.11.2015","null","null","null","null","null","Michael Snow. Secuencias"
"Ricard Garcia Vilanova. Destellos en la oscuridad (Siria, 2011-2015)","http://ajuntament.barcelona.cat/lavirreina/es/exposiciones/ricard-garcia-vilanova-destellos-en-la-oscuridad-siria-2011-2015","Ricard Garcia Vilanova. Destellos en la oscuridad (Siria, 2011-2015)","http://ajuntament.barcelona.cat/lavirreina/sites/default/files/styles/large/public/alepo.jpg","null","30.07.2015 - 18.10.2015","30.07.2015 - 18.10.2015","null","null","null","null","null","Ricard Garcia Vilanova. Destellos en la oscuridad (Siria, 2011-2015)"
