event_link,event_link-href,event_title1,event_start,event_text,event_image-src,event_end,event_category__Exposición__Galerías__Arte emergente__Ilustración,event_organizer__Miscelanea,event_venue__Miscelanea,event_maplink__1,event_cost__0,event_id,event_title2
"La Sed","https://www.miscelanea.info/e1012/la-sed","La Sed","19 April  2017 to 14 May  2017","INAUGURACIÓN y firma de libros: Miércoles 19 a las 20:00h.","https://www.miscelanea.info/public/images/lasedpaulabonetmiscelanea.jpg","19 April  2017 to 14 May  2017","null","null","null","null","null","/e1012/la-sed","Paula Bonet"
"AMAIA WAS HERE - Japón -","https://www.miscelanea.info/e1020/amaia-was-here-japon-","AMAIA WAS HERE - Japón -","17 May  2017 to

				04 June  2017","INAUGURACIÓN: Miércoles 17 a las 20:00h.","https://www.miscelanea.info/public/images/flyeramaia.jpg","17 May  2017 to

				04 June  2017","null","null","null","null","null","/e1020/amaia-was-here-japon-","Amaia Arrazola"
