"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Gallery Tour Barcelona","Barcelona","Guiris en Barcelona","01/13/2018","","01/05/2019","",1,"","","https://www.facebook.com/events/1986949408293749/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/26733786_1047683445373740_791592498200786345_n.jpg?_nc_cat=0&_nc_eui2=AeHmZl7b18feOoqd75LpcPBZ6Whu_XEisR6JpxYF0q9FjwfpJLxjv4ELvXGeDApS6zNaz_hfqLRrho9zmDzi_ZZP-kQsczb6fN1YpQcn4JVhcA&oh=563db5e54b8ff16efaad859ff0f5127c&oe=5B7E5EA4' width='228' height='182' alt='Gallery Tour Barcelona' />EN<br /> <br /> How much do you know about Barcelona's art scene? <br /> <br /> Kat and her team of experts will show you around the city, and explain every single detail about the works of art in the main streets of Barcelona. Take your pick - join them for a galleries and tapas tour, a photography tour or one of their amazing themed food nights!<br /> <br />  They guarantee a unique experience and a new way to enjoy Barcelona. Check your calendar, choose a tour, and book it!<br /> http://artspacetours.<br /> <br /> <br /> ES<br /> ...<br /> Te consideras un experto sobre la escena artística de Barcelona?<br /> <br /> Kat y su equipo de expertos te mostrarán la ciudad y explicarán cada detalle de las obras de arte en las principales calles de Barcelona. Puedes unirte a ellos para un tour de galerías y tapas, un tour de fotografía o una de sus increibles noches de comida temática.<br /> <br /> artspace tours graantizan una experiencia única y una nueva forma de disfrutar Barcelona. ¡Mira su calendario, elige un recorrido y resérvalo!<br /> http://artspacetours. Ver más</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/26733786_1047683445373740_791592498200786345_n.jpg?_nc_cat=0&_nc_eui2=AeHmZl7b18feOoqd75LpcPBZ6Whu_XEisR6JpxYF0q9FjwfpJLxjv4ELvXGeDApS6zNaz_hfqLRrho9zmDzi_ZZP-kQsczb6fN1YpQcn4JVhcA&oh=563db5e54b8ff16efaad859ff0f5127c&oe=5B7E5EA4"
"Conferència: La participació cultural a Catalunya 2013-2016","MACBA Museu d'Art Contemporani de Barcelona","CoNCA - Consell Nacional de la Cultura i de les Arts","05/17/2018","","05/17/2018","",1,"","","https://www.facebook.com/events/1567082903402647/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t15.0-10/s526x296/28760941_1743835769015038_5466056069887295488_n.jpg?_nc_cat=0&_nc_eui2=AeFUWoFBiIb-gBobhkkA6jXF-VERyy3GpSv99swRwMrS8s53xHL3Lnh5DY1Biqfarz0tbFTa34of_051KVHiK1lHJttCLKpvX0JLbEH-E6ONxA&oh=f9580b6fd7acfa27b7e74989c25cdf48&oe=5B9B7517' width='228' height='182' alt='Conferència: La participació cultural a Catalunya 2013-2016' />▶️ Un 20% de la població centra les seves pràctiques al voltant de la cultura digital.<br /> ▶️ Un 57% de les entrades de concerts i un 23% d'espectacles s'han obtingut gratuïtament.<br /> <br /> Aquestes i altres dades sobre la participació cultural es donaran a conèixer a la conferència ""La participació cultural a Catalunya 2013-2016"", a càrrec del sociòleg Antonio Ariño, organitzada pel CoNCA.<br /> <br /> L'acte tindrà lloc a l'Auditori Meier del MACBA, i us hi podeu inscriure al següent enllaç: bit.ly/2w96N3M<br /> <br /> #ActivitatCoNCA</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t15.0-10/s526x296/28760941_1743835769015038_5466056069887295488_n.jpg?_nc_cat=0&_nc_eui2=AeFUWoFBiIb-gBobhkkA6jXF-VERyy3GpSv99swRwMrS8s53xHL3Lnh5DY1Biqfarz0tbFTa34of_051KVHiK1lHJttCLKpvX0JLbEH-E6ONxA&oh=f9580b6fd7acfa27b7e74989c25cdf48&oe=5B9B7517"
"Disseny Hug*","Museu del Disseny de Barcelona","Nau Ivanow","05/19/2018","","05/19/2018","",1,"","","https://www.facebook.com/events/204604933676431/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/32313913_1895625067136422_6423354514379636736_o.jpg?_nc_cat=0&_nc_eui2=AeGQUNFmGXaOyVFxXKGr4w3StakjlfulddV9H6xtf4HOKvA9-QXaclYuyAmOcr09bm0JecYaYqnfXaXhgJaljHhO-vq7ZVqOX-8hrWmSuPpNiA&oh=9160f9542840219714ccaf0e191e1507&oe=5B7BE61F' width='228' height='182' alt='Disseny Hug*' />Intervenció artistica a l'espai públic de Hui Basa -Lali Álvarez i Pau Matas amb Gary Shochat i Clara Garcés-.<br /> <br /> Una proposta de la Nau Ivanow.<br /> <br /> Lloc: Espai de les escales mecàniques del vestíbul d'Àvila<br /> Horari de les intervencions: 20 h, 21 h, 22 h i 23 h.<br /> Vídeos: 19-01 h (edició: Victoria Benítez - LHP)</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/32313913_1895625067136422_6423354514379636736_o.jpg?_nc_cat=0&_nc_eui2=AeGQUNFmGXaOyVFxXKGr4w3StakjlfulddV9H6xtf4HOKvA9-QXaclYuyAmOcr09bm0JecYaYqnfXaXhgJaljHhO-vq7ZVqOX-8hrWmSuPpNiA&oh=9160f9542840219714ccaf0e191e1507&oe=5B7BE61F"
"Spring Collective - Group Exhibition","Filippo ioco Studio & Gallery","Filippo ioco Studio & Gallery","05/16/2018","","05/16/2018","",1,"","","https://www.facebook.com/events/440293739754431/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/30705324_1946063048798429_5581013506674655232_n.jpg?_nc_cat=0&_nc_eui2=AeFpJONkdrbrGIuY4xJnrK10XV-c1ZolGkXeYMJSWiEikviUDw2qX4DZrqqG-hKyZCkNrR6pdKNDJzlA0mX13wt2X-98vW-OzjZVsRxiEQb7tQ&oh=d7fb1becb26a57b33bd18f8be31cf844&oe=5B9AD8D5' width='228' height='182' alt='Spring Collective - Group Exhibition' />Filippo ioco Studio & Gallery y Catia Massa se complacen en presentar ""Spring Collective""<br /> <br /> Inauguración el 16 de Mayo 2018 de 19 – 22h. show funciona hasta el 31 de Mayo de 2018.<br /> <br /> Una exposición colectiva de artistas de seis naciones con diversas disciplinas y estilos de pintura que van desde el abstracto, la naturaleza y el figurativo en acrílico, óleo, mixta y bodypaint en lienzo, madera, escultura y cuerpo.<br /> <br /> Organizada por Catia Massa y Comisariada por Filippo ioco.<br /> <br /> PARTICIPANTES<br /> <br /> Krasimir Mitrev - Bulgaria<br /> Sergi Muñoz Lozan - Catalunya...<br /> Lucie Jestrabikova - República Checa<br /> Francis Bausan - España<br /> Sonia Floris - Italia<br /> Lucas Camilo Alvarez Salazar - Colombia<br /> Taisiia Fedirkina - Ucrania<br /> <br /> - ENGLISH -<br /> <br /> The Filippo ioco Studio & Gallery and Catia Massa are pleased to present ""Spring Collective""<br /> <br /> A group exhibition of artists from six nations with various painting disciplines and styles ranging from abstract, nature and figurative in acrylic, oil, mixed media and bodypaint on to canvas, wood, sculpture and body. <br /> <br /> Organised by Catia Massa and Curated by Filippo ioco.<br /> <br /> Opening Reception May 16, 2018 from 7:00 – 10:00 pm. Show Runs till May 31, 2018.<br /> <br /> PARTICIPATING ARTISTS<br /> <br /> Krasimir Mitrev - Bulgaria<br /> Sergi Muñoz Lozan - Catalunya<br /> Lucie Jestrabikova - Czech Republic<br /> Francis Bausan - Spain<br /> Sonia Floris - Italy<br /> Lucas Camilo Alvarez Salazar - Colombia<br /> Taisiia Fedirkina - Ukraine Ver más</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/30705324_1946063048798429_5581013506674655232_n.jpg?_nc_cat=0&_nc_eui2=AeFpJONkdrbrGIuY4xJnrK10XV-c1ZolGkXeYMJSWiEikviUDw2qX4DZrqqG-hKyZCkNrR6pdKNDJzlA0mX13wt2X-98vW-OzjZVsRxiEQb7tQ&oh=d7fb1becb26a57b33bd18f8be31cf844&oe=5B9AD8D5"
"EXPO Colectiva","Jordi Miguel art gallery","Jordi Miguel art gallery","05/19/2018","","05/19/2018","",1,"","","https://www.facebook.com/events/184874705673810/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/32266531_1656421597811194_5610184357613404160_o.jpg?_nc_cat=0&_nc_eui2=AeF_fHcH6MC3354seMWZ9PrAAbm95oJVhPL89hDCjGq6Z5-9qT1cZMWpppJKcdcWb-QtB3X3PBQTS9RcxdxK90hEOmMjd3F8ks6Zynjjz3HlPA&oh=828e18039a901496edbb61b1ec7e686c&oe=5B50A7C7' width='228' height='182' alt='EXPO Colectiva' />Inaguracion colectiva<br /> CAPÇADA<br /> ARMANDO MONTEMAR<br /> RAUL PAEZ<br /> PMR<br /> LEAFAR DELGADO</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/32266531_1656421597811194_5610184357613404160_o.jpg?_nc_cat=0&_nc_eui2=AeF_fHcH6MC3354seMWZ9PrAAbm95oJVhPL89hDCjGq6Z5-9qT1cZMWpppJKcdcWb-QtB3X3PBQTS9RcxdxK90hEOmMjd3F8ks6Zynjjz3HlPA&oh=828e18039a901496edbb61b1ec7e686c&oe=5B50A7C7"
"Can Tiana: Portes Obertes","null","Poblenou Hàbitat Creatiu","05/19/2018","","05/20/2018","",1,"","","https://www.facebook.com/events/123709995163501/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/32257725_166215797405569_420081856344489984_n.jpg?_nc_cat=0&_nc_eui2=AeGwKk6yGVHxDb6fsv1C6ZfxRpvWMrEbBGYs4_Qfk5BPAc_Jn8WCTc_s3Qax3yRiUdsccm1KP5XmBCpU8u_WMaOxoFFDbqWl_BzX00f1JJfbkw&oh=cba9c4dc0a5507a001ae826ded8782ba&oe=5B5189EE' width='228' height='182' alt='Can Tiana: Portes Obertes' />Obrim Can Tiana (c/Tànger, 89) dissabte 19 de maig (11 a 20 h) i diumenge 20 de maig (d'11 a 15 h.). <br /> <br /> PRESENTACIÓ DE L'ESPAI<br /> MOSTRA DELS ARTISTES<br /> <br /> Albert Capella<br /> Eva Sans<br /> Julia Clay<br /> Sulé Duc<br /> Mario Valle<br /> Coral Senderos<br /> Matteo Lencioni...<br /> Rob Macdonald<br /> Eli Gras<br /> <br /> artistes de La Fundicio i P9artiu Ver más</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/32257725_166215797405569_420081856344489984_n.jpg?_nc_cat=0&_nc_eui2=AeGwKk6yGVHxDb6fsv1C6ZfxRpvWMrEbBGYs4_Qfk5BPAc_Jn8WCTc_s3Qax3yRiUdsccm1KP5XmBCpU8u_WMaOxoFFDbqWl_BzX00f1JJfbkw&oh=cba9c4dc0a5507a001ae826ded8782ba&oe=5B5189EE"
"Inauguración exposición colectiva ''Six of a mind''","Grisart Escola Internacional de Fotografia Barcelona","Grisart Escola Internacional de Fotografia Barcelona","05/18/2018","","05/18/2018","",1,"","","https://www.facebook.com/events/166633754009702/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t15.0-10/p526x296/30817824_1837655009631723_2342543534822785024_n.jpg?_nc_cat=0&_nc_eui2=AeGQJKhBqLL8n6f4LQXLTeqI7qBAEXwarqSbbLNUP_W8NFxEFmhMcSE5vXtH9MG2fbhWNYxKJpl7Zm82zDpCN96--Kn6T8HPvepsFLgK9PJnKQ&oh=ff088f6f990989a765b06460177f0379&oe=5B8DA26E' width='228' height='182' alt='Inauguración exposición colectiva ''Six of a mind''' />Grisart y Mutuo presentan la exposición ''SIX OF A MIND''. La exposición recoge las instalaciones de Mar G. Lumbiarres, Rakel Mdelc, David Molero Saura, Gael Del Río, Violette Letient, y Pablo VB. Partiendo de procesos diversos, cada uno/a de los autores/as de la muestra aporta su visión personalizada acerca de diversos conceptos y realidades. El fruto de esta experimentación llevada a cabo a lo largo de la edición del Curso de Creación de Proyectos 2016-2017 tanto a nivel individual como a nivel colectivo se presenta aquí a través de una serie de instalaciones expositivas de carácter experimental.<br /> <br /> ¡Os esperamos el próximo viernes 18 de mayo, a las 19:30h!<br /> <br /> Exposición del 18 de mayo al 30 de mayo 2018<br /> Horario: de lunes a sábado, de 15:00h a 20:00h.</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t15.0-10/p526x296/30817824_1837655009631723_2342543534822785024_n.jpg?_nc_cat=0&_nc_eui2=AeGQJKhBqLL8n6f4LQXLTeqI7qBAEXwarqSbbLNUP_W8NFxEFmhMcSE5vXtH9MG2fbhWNYxKJpl7Zm82zDpCN96--Kn6T8HPvepsFLgK9PJnKQ&oh=ff088f6f990989a765b06460177f0379&oe=5B8DA26E"
"Arqu[in]FILM | Muestra de Cine de Arquitectura de Barcelona","Filmoteca de Catalunya","Ojo Cónico","05/18/2018","","05/20/2018","",1,"","","https://www.facebook.com/events/201275213989244/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s552x414/31301892_2147816608569603_3720489195089690624_n.jpg?_nc_cat=0&_nc_eui2=AeFs8oNApcPbBwirQ4umTjkeu-riKgMdBtY7jMd7F8J1vkZ1Zoqpc4ZsY9ajpE70p7RDipEoQEdIdJ7ivDhHeHSbuFCR8Kd-nqR6mhbdzvEJlA&oh=0d40c4eb0b2eff22d105778edf1d71cf&oe=5B88CB0E' width='228' height='182' alt='Arqu[in]FILM | Muestra de Cine de Arquitectura de Barcelona' />“Los arquitectos no inventan nada, solo transforman la realidad.” Alvaro Siza Vieira<br /> <br /> En un momento en el que cada vez cuesta más discernir la realidad de la irrealidad en la información presentada por los medios de comunicación, la temática de la edición de 2018 de Arqu[in]FILM gira entorno a la intersección entre la ficción y la no ficción y la manera en que ambas construyen narrativas urbanas y arquitectónicas. La programación gravita alrededor de la no ficción. Sin embargo todas las películas, ya sea por su temática, como por la realización, nos aproximan en cierta manera a una narrativa que podría surgir de la ficción. Se plantean tres sesiones documentales, todos ellos, de estreno en salas en el territori...o Español.<br /> <br /> VIERNES 18 DE MAYO | 19.30<br /> <br /> BIG Time <br /> Kaspar Astrup Schröder, Dinamarca, 2017, 93', VOSC.<br /> Estreno en Salas<br /> <br /> Según el Wall Street Journal, Bjarke Ingels se ha convertido rápidamente en 'una de las mayores estrellas del mundo del diseño' y su nombre ha aparecido recientemente entre la lista de las 100 personas más influyentes de TIME. Un retrato íntimo de la vida de una mente genialmente innovadora y su esfuerzo por mantener su propia personalidad conjugándola con el reconocimiento y la fama, lo conseguirá? Big Time acompaña al starchitect Bjarke Ingels durante 6 años en su lucha por completar uno de sus mayores proyectos hasta la fecha, el rascacielos de Nueva York W57 y el World Trade Center 2. <br /> <br /> Presentación de la película y el ciclo: Martín Garber Salzberg, director de ojoconico.org<br /> <br /> <br /> SÁBADO 19 DE MAYO | 19.30<br /> <br /> AIRES MATEUS: Matter in Reverse<br /> Henrique Camara Pina, Portugal, 2017, 65', VOSC.<br /> Estreno en España<br /> <br /> El trabajo de los arquitectos Aires Mateus muestra claramente la contemporaneidad – en toda su complejidad y contradicción – una condición difícil de expresar en el ámbito de la arquitectura. Su profusa obra desarrollada a lo largo de e muchos años lo confirma. Sus propuestas desarrollan un lenguaje con un fuerte impacto universal. De esta universalidad emerge la adaptación al territorio arraigada claramente en la tradición Portuguesa. En la interpretación del trabajo de los arquitectos Aires Mateus se encuentra un apetito – casi un deseo – por la apropiación cinematográfica: por la invención del lugar; en la confrontación entre cuerpo y materia; en la claridad de los claroscuros; en la busqueda de un silencio propio. La materia se encuentra invertida. <br /> <br /> Presentación y Q&A: Ivan Blasi, responsable de Comisariado, Premios, y Programas de la Fundación Mies van Der Rohe, y Henrique Camara Pina, director del documental.  <br /> <br /> <br /> DOMINGO 20 MAYO | 19.30<br /> <br /> HACER MUCHO CON POCO <br /> Katerina Kliwadenko & Mario Novas, 2017, 86', VE. <br /> Estreno en Salas<br /> <br /> Un documental que relata el quehacer de la arquitectura contemporánea ecuatoriana. Se centra en la práctica de estudios jóvenes de la generación post crisis financiera, pues fueron ellos quienes tuvieron que plantearse un cambio de paradigma en la forma de enfrentar el oficio, esto los hizo no solo encontrar un espacio en donde hacer su producción arquitectónica, sino también tener mucha visibilidad internacional. Esta visibilidad que es reconocida en el exterior surge por la construcción de una identidad propia a partir de una producción que exalta los valores locales, tanto materiales como humanos y se caracteriza por la conciencia social, económica y ambiental con la que enfrenta sus proyectos. <br /> <br /> Presentación y Q&A: Katerina Kliwadenko & Mario Novas, realizadores del documental.<br /> <br /> #SetmanaArquitectura Ver más</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s552x414/31301892_2147816608569603_3720489195089690624_n.jpg?_nc_cat=0&_nc_eui2=AeFs8oNApcPbBwirQ4umTjkeu-riKgMdBtY7jMd7F8J1vkZ1Zoqpc4ZsY9ajpE70p7RDipEoQEdIdJ7ivDhHeHSbuFCR8Kd-nqR6mhbdzvEJlA&oh=0d40c4eb0b2eff22d105778edf1d71cf&oe=5B88CB0E"
"Inauguración de Cuaderno de Viaje de Conchi Martínez","ArtDealProject","ArtDealProject","05/17/2018","","05/17/2018","",1,"","","https://www.facebook.com/events/423382111422591/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/32422990_1844792592246098_6026068905628270592_n.jpg?_nc_cat=0&_nc_eui2=AeGIOXppMVO1nFitpIyQWOWmGCdlrRYNTSpPI-XMnl_wHMll4Na-552Hntz83mTSD3KlZ1_C_iu9ck9y6Jb-BqkgmLxRROeRyNEzGHdTX5wKfg&oh=a031643bbf74a994cbf669bdd97cda67&oe=5B822F9A' width='228' height='182' alt='Inauguración de Cuaderno de Viaje de Conchi Martínez' />La fotógrafa Conchi Martínez presenta el proyecto Cuaderno de Viaje dentro de la programación Off del Festival Revela´t en Art Deal project. Ven a disfrutarlo con una cerveza artesana Tibidabo.<br /> <br /> No sabría decir cuándo nació mi afición por los viajes ni si empecé a fotografiar como consecuencia de querer conservar un pedacito de aquello que iba descubriendo, o si mi interés por la fotografía fue el que provocó la necesidad imperiosa de viajar para tener una excusa para ponerla en práctica. Este trabajo representa la fusión de dos de mis grandes pasiones: la fotografía y los viajes. Nació como un libro de artista, a partir de una colección de fotografías de viaje realizadas a lo largo de varios años. El viajar si...empre supone un descubrimiento, una sorpresa, y la fotografía de viajes me resulta algo evocativo, una manera de registrar recuerdos.<br /> <br /> Esta sensación evocativa es la que he pretendido plasmar en mi trabajo. Es por ello que he optado por una presentación de este tipo en la que, partiendo de transferencias de imagen Polaroid, he coloreado a mano los resultados como se hacía antaño con algunas imágenes en blanco y negro, dándoles deliberadamente un cierto aire kistch, eligiendo un rugoso papel de acuarela como soporte de las transferencias, cortando cada una de las hojas manualmente para que el acabado fuese irregular, intercalando textos manuscritos entre las fotos para evitar que una tipografía impresa diera al traste con el aire retro del trabajo, y eligiendo una encuadernación con tapas de cuero atadas en forma de cuaderno para potenciar aún más el aspecto antiguo. Ver más</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/32422990_1844792592246098_6026068905628270592_n.jpg?_nc_cat=0&_nc_eui2=AeGIOXppMVO1nFitpIyQWOWmGCdlrRYNTSpPI-XMnl_wHMll4Na-552Hntz83mTSD3KlZ1_C_iu9ck9y6Jb-BqkgmLxRROeRyNEzGHdTX5wKfg&oh=a031643bbf74a994cbf669bdd97cda67&oe=5B822F9A"
"Conferencia de la escultora Pilar Aldana-Méndez","Arxiu Fotogràfic de Barcelona","sculpture network","05/25/2018","","05/25/2018","",1,"","","https://www.facebook.com/events/444636952653519/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x395/31743538_10156228494388326_2492827137749286912_n.jpg?_nc_cat=0&_nc_eui2=AeHyc9cNE_MUJ0gKg_bcm1fYDpcfpcqRSISDqoPx7NvgJ1yXOtqwSg8HMSj9BR6ujvM0CRqTzWi_CbuOwpjhNY1LHCFaAhJAd9h8W4Ts8aKy1A&oh=99f53a53cdb8684ee2bb09a701b14b05&oe=5B527D56' width='228' height='182' alt='Conferencia de la escultora Pilar Aldana-Méndez' />Conferencia de la escultora Pilar Aldana-Méndez sobre “Luz y color en el templo de la Sagrada Familia”<br /> Conclusiones y debate<br /> Networking y copa, a cargo de cada participante, en el barrio del Born<br />  <br /> Participación<br /> Precio normal: 10,- EUR<br /> Miembros de sculpture network: 0,- EUR<br /> Máximo: 30 participantes, prioridad socios de sculpture network<br /> <br /> Cómo llegar: Metro: Arc de Triomf (L1) y Jaume I (L4)<br /> <br /> Para participar por favor regístrese online: https://civicrm.sculpture-network.org/en/civicrm/event/register?reset=1&id=977...<br />  <br /> Pilar Aldana-Méndez ha preparado esta conferencia para presentar las esculturas en vidrio que realizó para la parte superior de la Torre de la Sacristía como una colaboración especial con los arquitectos del templo.  Al mismo tiempo inició la investigación sobre la luz y el color con el estudio de la presencia del vidrio, el elemento clave para crear la atmósfera cálida y generar los efectos simbólicos previstos por Gaudí.<br /> <br /> En la conferencia presentará todas las intervenciones en vidrio: los vitrales, las linternas suspendidas del techo, las esculturas en vidrio y los mosaicos en vidrio. El estudio de la piedra y otros materiales utilizados para la construcción del templo también está presente en la investigación porque la luz y los colores se reflejan de manera muy especial en las paredes, el techo, las columnas y en el suelo del templo.  Detalles sobre la geometría gaudiniana, la historia de la construcción, conceptos simbólicos y aspectos técnicos especiales también se incluyen en la conferencia.<br /> <br /> En su tiempo, Gaudí estableció su laboratorio de investigación en la Colonia Güell dejando gran cantidad de ideas y soluciones para la construcción del templo. En la actualidad, la construcción sigue los conceptos del maestro Gaudí y establece nuevas formas para uso de materiales tradicionales y de última generación. La Sagrada Familia es actualmente el laboratorio vivo de arquitectura más grande del mundo.<br /> <br /> El Templo de la Sagrada Familia es uno de los grandes tesoros del patrimonio cultural del mundo y tiene un gran valor como capital cultural por ser la condensación de un siglo de pensamiento y actuación de un grupo coherente de arquitectos, industriales, artesanos y artistas.<br /> <br /> Más información sobre la escultora Pilar Aldana-Méndez: www.aldana-mendez.net ;<br /> pilaraldana-mendez.blogspot.com<br /> Más información sobre el templo de la Sagrada Familia: www.sagradafamilia.org<br /> Más información sobre el Arxiu Fotogràfic de Barcelona: www.barcelona.cat/arxiufotografic<br /> <br /> El programa está organizado por Neus Bergua, sculpture network Catalonia Coordinator. Ver más</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x395/31743538_10156228494388326_2492827137749286912_n.jpg?_nc_cat=0&_nc_eui2=AeHyc9cNE_MUJ0gKg_bcm1fYDpcfpcqRSISDqoPx7NvgJ1yXOtqwSg8HMSj9BR6ujvM0CRqTzWi_CbuOwpjhNY1LHCFaAhJAd9h8W4Ts8aKy1A&oh=99f53a53cdb8684ee2bb09a701b14b05&oe=5B527D56"
