event_link,event_link-href,event_start,event_end,event_image-src,event_title1,event_title2,event_text,event_maplink__1,event_cost__0,event_category__Actividad__La Capella,event_organizer__La Capella,event_venue__La Capella,event_id
"Sobre nuevos materialismos","http://lacapella.bcn.cat/es/activitats/sobre-nuevos-materialismos","Jueves, 9 Junio, 2016","Jueves, 9 Junio, 2016","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/imatge_web_ricardo_trigo2.jpg","Sobre nuevos materialismos","Ricardo Trigo","18.30 h 
Actividad complementaria de Background Immunity:
El artista Ricardo Trigo propone un encuentro con Pau Alsina para abordar, desde la teoría y el pensamiento, las relaciones entre el arte y su materialidad.","null","null","null","null","null","/es/activitats/sobre-nuevos-materialismos"
"Visita comentada de la exposición 'Demo' / Pau Magrané con el artista","http://lacapella.bcn.cat/es/activitats/visita-comentada-de-la-exposici%C3%B3n-demo-pau-magran%C3%A9-con-el-artista","Sábado, 11 Junio, 2016","Sábado, 11 Junio, 2016","http://lacapella.bcn.cat/sites/default/files/styles/bildresumen/public/activitats/demo_1.png","Visita comentada de la exposición 'Demo' / Pau Magrané con el artista","Pau Magrané","18.30 h - Demo es un concierto audiovisual, donde la reapropiación de sonidos y la visión escultórica tienen un papel fundamental. Pau Magrané hará una visita comentada de su proyecto y nos mostrará su funcionamiento.","null","null","null","null","null","/es/activitats/visita-comentada-de-la-exposici%C3%B3n-demo-pau-magran%C3%A9-con-el-artista"
