event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src
Taller de Net art y diseño interactivo para la web,,"3, 10, 17 i 24 de junio 2017","3, 10, 17 al 24 de junio 2017",null,,https://hangar.org/es/news/espanol-taller-de-net-art-y-diseno-interactivo-para-la-web-2/,null,null,null,https://hangar.org/es/news/espanol-taller-de-net-art-y-diseno-interactivo-para-la-web-2/,https://hangar.org/webnou/wp-content/uploads/2017/05/netart02-200x150.jpg
Taller “Cine MacGyver: cámaras DIY”,,6 julio,6 de julio 2017,null,,https://hangar.org/es/news/workshop-macgyver-filmmaking-diy-camera-apparatuses/,null,null,null,https://hangar.org/es/news/workshop-macgyver-filmmaking-diy-camera-apparatuses/,https://hangar.org/webnou/wp-content/uploads/2017/05/360-Camera-1-1-200x150.jpg
Taller de Video mapping aplicado a la instalación audiovisual y la escenografía digital,,"13, 15, 20, 22, 27 y 29 junio 2017","13, 15, 20, 22, 27 al 29 junio 2017",null,,https://hangar.org/es/news/espanol-taller-de-video-mapping-aplicado-a-la-instalacion-audiovisual-y-la-escenografia-digital/,null,null,null,https://hangar.org/es/news/espanol-taller-de-video-mapping-aplicado-a-la-instalacion-audiovisual-y-la-escenografia-digital/,https://hangar.org/webnou/wp-content/uploads/2017/05/mapping01-200x150.jpg
