event_link,event_link-href,event_text,event_title2,event_title1,event_start,event_end,event_image-src,event_maplink__1,event_cost__0,event_organizer__Arts Santa Mónica,event_venue__Arts Santa Mónica,event_id,event_category__Exposición__Arts Santa Mónica__Próximas inauguraciones
,http://artssantamonica.gencat.cat/es/detall/Generacio-Horiginal,"GENERACIÓ (H)ORIGINAL és un retrat coral representatiu d’una generació de poetes que ha orbitat al voltant del bar (H)original de Barcelona. Un espai de trobada i de relacions poètiques que amb els anys ha esdevingut un dels centres neuràlgics i transformadors de la poesia de la ciutat i en general del nostre país. Per allí hi han passat (i segueixen fent-ho molts) poetes com Màrius Sampere, Francesc Garriga, Enric Casasses, Tomàs Arias, Jaume C. Pons Alorda, Benet Rossell, Joan Vigó, Dolors Miquel, Carles Hac Mor, Eduard Escoffet, Míriam Cano i un llarg etcètera.
Ja fa mes de 15 anys que va néixer aquest cau de poetes, de la mà del Manel Pérez com a empresari i de la poeta Meritxell Cucurella-Jorba i del Gigi Marzullo, com a primer equip gestor. Més endavant, el 2002, Ferran Garcia fins l’actualitat, i Josep Pedrals fins al juliol del 2015, quan va decidir deixar-ne la gestió per passar a noves aventures, n’han estat al capdavant de la programació.
Ens hem centrat amb els primers 15 anys de vida de l'Horiginal, que han suposat una etapa intensa i crucial per la poesia en llengua catalana. Un temps en què els poetes s’han anat congregant de forma assídua en aquest lloc, i allí hi han compartit inquietuds, han reivindicat a poetes oblidats que han tingut com a referents, i han revolucionat el panorama poètic del país amb una energia nova, jove, renovadora i plena de vitalitat, i així, d’alguna manera, s’han anat convertint en un moviment poètic generacional.
És per això que creiem que ara és el moment oportú per parlar d’aquest espai i d’aquest grup, des de la seva contemporaneïtat (perquè segueix ben actiu), i ho volem fer amb la força dels retrats fotogràfics, i que sigui balanç i testimoni viu d’aquesta generació singular de poetes i de tots aquests anys tan importants i decisius en la poesia i la cultura de Barcelona i del nostre país.",null,Generació (H)original,26.07 - 24.09.2017,26.07 - 24.09.2017,http://artssantamonica.gencat.cat/web/.content/Imatge/2017/Exposicions/Generacio-Horiginal/Meritxell-Cucurella-606x420.jpg_356955165.jpg,null,null,null,null,/es/detall/Generacio-Horiginal,null
,http://artssantamonica.gencat.cat/es/detall/Les-maletes-de-Walter-Benjamin.-Dispositius-migratoris,"S'instal·la a Arts Santa Mònica l'exposició Les maletes de Walter Benjamin. Dispositius migratoris, un projecte itinerant que ja va passar per La Casa de Velázquez de Madrid i per Portbou.
L'exposició sorgeix d’un projecte col·laboratiu entre diferents escoles de belles arts: la Weißensee Kunsthochschule de Berlín (Visuelle Kommunikation. Digitale Medien), l’École des Beaux-Arts de Bordeaux, l’Escola Llotja d’Arts i Disseny de Barcelona i la Casa de Velázquez de Madrid.
Els estudiants i artistes residents han creat unes maletes imaginàries partint de la lectura de les Tesis de la Filosofia de la Història escrites per Walter Benjamin (Berlin, 1892-Portbou, 1940), i que es creu que portava a la maleta en la seva fugida a l’exili, abans de decidir posar fi a la seva vida el 26 de setembre de 1940 a Portbou, en ser detingut per la Gestapo i en saber que seria repatriat. La història, la memòria i la identitat europea d’avui és el tema de fons d’aquestes maletes que els estudiants han creat pensant en Portbou, passatge de frontera i exili que cobra actualitat davant l’Europa dels refugiats. 
L’exposició uneix un eix geogràfic benjaminià, amb la participació de Berlín, ciutat on va néixer, Burdeus, ciutat important de França, país que el va acollir com a refugiat alemany, i Portbou, frontera espanyola, on va decidir acabar amb la seva vida.",null,Les maletes de Walter Benjamin. Dispositius migratoris,20.07 - 24.09.2017,20.07 - 24.09.2017,http://artssantamonica.gencat.cat/web/.content/Imatge/2015-2016/activitats/2016/maletes-606x420.jpg_356955165.jpg,null,null,null,null,/es/detall/Les-maletes-de-Walter-Benjamin.-Dispositius-migratoris,null
