event_title2,event_start,event_text,event_image-src,event_end,event_category__Exposición__Espai Volart__Arte local,event_organizer__Espai Volart,event_venue__Espai Volart,event_maplink__1,event_cost__1,event_id,event_title1,event_link,event_link-href
Villèlia,Jueves 06 | Abril  | 2017 - Lunes 26 | Junio  | 2017,null,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A13473984.jpg,Jueves 06 | Abril  | 2017 - Lunes 26 | Junio  | 2017,null,null,null,null,null,es/exposicion/villelia,Moisès Villèlia,,http://www.fundaciovilacasas.com/es/exposicion/villelia
Cirlot i els artistes a l’entorn de El Correo de las Artes. 1957 – 1962. Col·lecció Joan Gil.,Jueves 06 | Abril  | 2017 - Domingo 28 | Mayo  | 2017,null,https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A13464134.jpg,Jueves 06 | Abril  | 2017 - Domingo 28 | Mayo  | 2017,null,null,null,null,null,es/exposicion/cirlot-i-els-artistes-a-lentorn-de-el-correo-de-las-artes-1957-1962-colleccio-joan-gil,,,http://www.fundaciovilacasas.com/es/exposicion/cirlot-i-els-artistes-a-lentorn-de-el-correo-de-las-artes-1957-1962-colleccio-joan-gil
Visiones y desconciertos,Jueves 06 | Abril  | 2017 - Domingo 28 | Mayo  | 2017,"Alberto García-Álavarez (Barcelona, 1928) compartió ideario y actividad con Joan Lleó, Domènec Fita, Romà Vallès y Francesc Carulla como integrante del grupo Flamma (1948-1953). Su trabajo se desarrolló en plenitud en Auckland, Nueva Zelanda, donde fue profesor en la Universidad de Bellas Artes durante 20 años y mentor de una generación de estudiantes que le siguieron en una vida dedicada a la enseñanza y a la práctica del arte. “Visiones y desconciertos” descifra su trayectoria internacional para revelar un insólito espíritu de experimentación y una constante geométrica que lo mantiene fiel a sus orígenes.",https://gestio.fundaciovilacasas.com/contactes//upfiles/exposicions/imatges/th_th_A12390993.jpg,Jueves 06 | Abril  | 2017 - Domingo 28 | Mayo  | 2017,null,null,null,null,null,es/exposicion/visiones-y-desconciertos,,,http://www.fundaciovilacasas.com/es/exposicion/visiones-y-desconciertos
